writing_id,sentence_id,text,expected,annotation
0,1,1 โรคพิษสุนัขบ้า เป็นอย่างไร,1. โรคพิษสุนัขบ้าคืออะไร,{1=>1.:::Punctuation} โรคพิษสุนัขบ้า{ =>:::Punctuation}{เป็นอย่างไร=>คืออะไร:::Fluency}
0,2,โรคพิษสุนัขบ้าเป็นโรคติดต่อร้ายแรงที่เกิดจากเชื้อไวรัสที่ส่งผลกระทบต่อระบบประสาท จากการได้รับเชื้อจากน้ำลายของสัตว์ ที่ติดเชื้อ เช่น แมว หนู ลิง โดยเฉพาะสุนัข,โรคพิษสุนัขบ้าเป็นโรคติดต่อร้ายแรงที่เกิดจากเชื้อไวรัสซึ่งมีผลกระทบต่อระบบประสาท โดยเกิดจากการได้รับเชื้อจากน้ำลายของสัตว์ที่ติดเชื้อ เช่น แมว หนู ลิง และโดยเฉพาะอย่างยิ่ง สุนัข,โรคพิษสุนัขบ้าเป็นโรคติดต่อร้ายแรงที่เกิดจากเชื้อไวรัส{ที่=>ซึ่ง:::Fluency}{ส่งผลกระทบ=>มีผลกระทบ:::Fluency}ต่อระบบประสาท {=>โดยเกิด:::Grammar}จากการได้รับเชื้อจากน้ำลายของสัตว์{ =>:::Punctuation}ที่ติดเชื้อ เช่น แมว หนู ลิง {=>และ:::Fluency}โดยเฉพาะ{=>อย่างยิ่ง:::Fluency} สุนัข
0,3,2 โรคพิษสุนัขบ้า มาจากไหน,2. โรคพิษสุนัขบ้ามาจากไหน,{2=>2.:::Punctuation} โรคพิษสุนัขบ้า{ =>:::Punctuation}มาจากไหน
0,4,ผู้ป่วยส่วนมากได้รับไวรัสพิษสุนัขบ้าจากน้ำลายสัตว์ที่ป่วย ซึ่งเกิดขึ้นเมื่อสัตว์ที่ป่วยกัด ขว่น หรือ เลีย ทำให้น้ำลายเข้าสู่ร่างกายผ่านทางบาดแผลหรือบริเวณริมฝีปากหรือนัยน์ตา,ผู้ป่วยส่วนมากติดเชื้อไวรัสพิษสุนัขบ้าจากน้ำลายของสัตว์ที่ป่วย ซึ่งเกิดขึ้นเมื่อถูกสัตว์ที่เป็นโรคกัด ข่วน หรือเลีย ทำให้เชื้อโรคในน้ำลายเข้าสู่ร่างกายผ่านทางบาดแผล บริเวณริมฝีปาก หรือดวงตา,ผู้ป่วยส่วนมาก{ได้รับ=>ติดเชื้อ:::Fluency}ไวรัสพิษสุนัขบ้าจากน้ำลาย{=>ของ:::Fluency}สัตว์ที่ป่วย ซึ่งเกิดขึ้นเมื่อ{=>ถูก:::Fluency}สัตว์ที่{ป่วย=>เป็นโรค:::Fluency}กัด {ขว่น=>ข่วน:::Spelling} หรือ{ =>:::Punctuation}เลีย ทำให้{=>เชื้อโรคใน:::Fluency}น้ำลายเข้าสู่ร่างกายผ่านทางบาดแผล{หรือ=> :::Punctuation}บริเวณริมฝีปาก{=> :::Punctuation}หรือ{นัยน์ตา=>ดวงตา:::Fluency}
0,5,3 ทำอย่างไรเมื่อโดนกัดหรือข่วน,3. ทำอย่างไรหากถูกกัดหรือข่วน,{3=>3.:::Punctuation} ทำอย่างไร{เมื่อ=>หาก:::Fluency}{โดน=>ถูก:::Fluency}กัดหรือข่วน
0,6,ถ้าถูกสัตว์ที่สงสัยว่าเป็นโรคพิษสุนัขบ้ากัดหรือเลียบาดแผล ต้องรีบล้างแผลด้วย,ถ้าถูกสัตว์ที่สงสัยว่าเป็นโรคพิษสุนัขบ้ากัดหรือเลียบาดแผล ต้องรีบล้างแผลด่วน,ถ้าถูกสัตว์ที่สงสัยว่าเป็นโรคพิษสุนัขบ้ากัดหรือเลียบาดแผล ต้องรีบล้างแผล{ด้วย=>ด่วน:::Spelling}
0,7,ปัจจุบันยังไม่มียาที่สามารถรักษาโรคพิษสุนัขบ้าได้แต่ถ้าปล่อยให้ติดเชื้อทำให้เสียชีวิต 100 %,ปัจจุบันยังไม่มียาที่รักษาโรคพิษสุนัขบ้าได้ หากปล่อยให้ติดเชื้อจะไม่มีโอกาสรอดชีวิต,ปัจจุบันยังไม่มียาที่{สามารถ=>:::Fluency}รักษาโรคพิษสุนัขบ้าได้{=> :::Punctuation}{แต่ถ้า=>หาก:::Fluency}ปล่อยให้ติดเชื้อ{=>จะ:::Fluency}{ทำให้เสียชีวิต 100 %=>ไม่มีโอกาสรอดชีวิต:::Fluency}
0,8,4 วิธีป้องกันและแก้ปัญหาเป็นอย่างไร,4. มีวิธีป้องกันและแก้ปัญหาอย่างไร,{4=>4.:::Punctuation} {=>มี:::Fluency}วิธีป้องกันและแก้ปัญหา{เป็น=>:::Fluency}อย่างไร
0,9,ผู้เลี้ยงสัตว์ทุกคนนำสัตว์เลี้ยงไปฉีดวัคซีนป้องกันโรคพิษสุนัขบ้า,ผู้ที่เลี้ยงสัตว์ทุกคนควรพาสัตว์เลี้ยงไปฉีดวัคซีนป้องกันโรคพิษสุนัขบ้า,ผู้{=>ที่:::Grammar}เลี้ยงสัตว์ทุกคน{=>ควร:::Fluency}{นำ=>พา:::Fluency}สัตว์เลี้ยงไปฉีดวัคซีนป้องกันโรคพิษสุนัขบ้า
0,10,5 สถานการณ์เป็นอย่างไร,5. สถานการณ์ในปัจจุบันเป็นอย่างไร,{5=>5.:::Punctuation} สถานการณ์{=>ในปัจจุบัน:::Fluency}เป็นอย่างไร
