writing_id,sentence_id,text,expected,annotation,tokenize,word_length,no_edit
313,6,พวกเราไม่ค่อยโกรดไคร ยกเว้นคนที่โกหกบ่อย ๆ,พวกเราไม่ค่อยโกรธใคร ยกเว้นคนที่โกหกบ่อย ๆ,พวกเราไม่ค่อย{โกรด=>โกรธ:::Spelling}{ไคร=>ใคร:::Spelling} ยกเว้นคนที่โกหกบ่อย ๆ,"['พวกเรา', 'ไม่ค่อย', 'โกรด', 'ไค', 'ร', ' ', 'ยกเว้น', 'คน', 'ที่', 'โกหก', 'บ่อย ๆ']",11,0
238,8,ส่วนวันที่ 14 มีนาคม จะเป็น วันที่ชายหนุ่มชาวญี่ปุ่นส่งช็อกโกแลต,ส่วนวันที่ 14 มีนาคม จะเป็นวันที่ชายหนุ่มชาวญี่ปุ่นส่งช็อกโกแลต,ส่วนวันที่ 14 มีนาคม จะเป็น{ =>:::Punctuation}วันที่ชายหนุ่มชาวญี่ปุ่นส่งช็อกโกแลต,"['ส่วน', 'วันที่', ' ', '14', ' ', 'มีนาคม', ' ', 'จะ', 'เป็น', ' ', 'วันที่', 'ชายหนุ่ม', 'ชาว', 'ญี่ปุ่น', 'ส่ง', 'ช็อกโกแลต']",16,0
192,2,ทำไม วันนี้ที่กรุงเทพฯ,ทำไมวันนี้ที่กรุงเทพฯ,ทำไม{ =>:::Punctuation}วันนี้ที่กรุงเทพฯ,"['ทำไม', ' ', 'วันนี้', 'ที่', 'กรุงเทพฯ']",5,0
123,6,ขณะที่จำนวนคนชราเพิ่มขึ้น ปกติผมนอนหลับ 3 ทุ่มในขณะที่น้องชายนอนหลับตีสอง,ขณะที่จำนวนคนชราเพิ่มขึ้น ปกติผมนอนหลับตอน 3 ทุ่มในขณะที่น้องชายนอนหลับตอนตีสอง,ขณะที่จำนวนคนชราเพิ่มขึ้น ปกติผมนอนหลับตอน 3 ทุ่มในขณะที่น้องชายนอนหลับตอนตีสอง,"['ขณะที่', 'จำนวน', 'คนชรา', 'เพิ่มขึ้น', ' ', 'ปกติ', 'ผม', 'นอนหลับ', ' ', '3', ' ', 'ทุ่ม', 'ในขณะที่', 'น้องชาย', 'นอนหลับ', 'ตีสอง']",16,0
112,0,เวลาฤดูแล้ง ฝนไม่ค่อยตก ประเทศญี่ปุ่นล้อมรอบมหาสมุทร Pacific,ในฤดูแล้งฝนไม่ค่อยตก ประเทศญี่ปุ่นล้อมรอบมหาสมุทร Pacific,,"['เวลา', 'ฤดูแล้ง', ' ', 'ฝน', 'ไม่ค่อย', 'ตก', ' ', 'ประเทศ', 'ญี่ปุ่น', 'ล้อมรอบ', 'มหาสมุทร', ' ', 'Pacific']",13,0
7,15,ทุกภักษการสร้างถ้วยชามใช้วิธีแตกต่างกัน,คนปรุงอาหารก็ใช้ถ้วยชาม ใช้วิธีแตกต่างกัน,,"['ทุก', 'ภักษการ', 'สร้าง', 'ถ้วยชาม', 'ใช้', 'วิธี', 'แตก', 'ต่างกัน']",8,0
0,13,เจ้าหน้าที่กรทรวงสาธารณสุขของไทยเตือนให้ประชาชนนำสัตว์เลี้ยงเข้ารับการฉีดวัคชีนและให้ผู้ที่ถูกสัตว์เลียงกัดต้องรีบพบแพทย์ทันที,เจ้าหน้าที่กระทรวงสาธารณสุขของไทยเตือนให้ประชาชนพาสัตว์เลี้ยงไปรับการฉีดวัคซีน และผู้ที่ถูกสัตว์เลี้ยงกัดต้องรีบพบแพทย์ทันที,เจ้าหน้าที่{กรทรวง=>กระทรวง:::Spelling}สาธารณสุขของไทยเตือนให้ประชาชน{นำ=>พา:::Fluency}สัตว์เลี้ยง{เข้า=>ไป:::Fluency}รับการฉีดวัคซีน{=> :::Punctuation}และ{ให้=>:::Fluency}ผู้ที่สัตว์เลี้ยงกัดต้องรีบพบแพทย์ทันที,"['เจ้าหน้าที่', 'กร', 'ทรวง', 'สาธารณสุข', 'ของ', 'ไทย', 'เตือน', 'ให้', 'ประชาชน', 'นำ', 'สัตว์เลี้ยง', 'เข้า', 'รับ', 'การ', 'ฉีด', 'วัค', 'ชี', 'น', 'และ', 'ให้', 'ผู้', 'ที่', 'ถูก', 'สัตว์', 'เลียง', 'กัด', 'ต้อง', 'รีบ', 'พบ', 'แพทย์', 'ทันที']",31,0
207,3,ในอดีตคนญี่ปุ่นใส่กีโมโน,ในอดีตคนญี่ปุ่นใส่กิโมโน,ในอดีตคนญี่ปุ่นใส่{กีโมโน=>กิโมโน:::Spelling},"['ใน', 'อดีต', 'คนญี่ปุ่น', 'ใส่', 'กี', 'โม', 'โน']",7,0
13,12,วาระของนักการเมืองส่วนใหญ่เป็น 4 ปี แต่บางนโยบายต้องใช้เวลาจะได้เห็นประโยชน์,วาระของนักการเมืองส่วนใหญ่คือ 4 ปี แต่บางนโยบายต้องใช้เวลาถึงจะเห็นผล เพื่อการเลือกตั้งครั้งหน้า นักการเมืองก็เลยไม่ยอมออกนโยบายที่ต้องใช้เวลาถึงจะเห็นผล,วาระของนักการเมืองส่วนใหญ่{เป็น=>คือ:::Fluency} 4 ปี{=> :::Punctuation}แต่บางนโยบายต้องใช้เวลา{=>ถึง:::Fluency}จะ{ได้=>:::Fluency}เห็น{ประโยชน์=>ผล:::Fluency} เพื่อการเลือกตั้งครั้งหน้า{=> :::Punctuation}{นักการเมือง=>:::Grammar}ก็เลยไม่ยอมออกนโยบายที่{=>ต้อง:::Fluency}ใช้เวลา{=>ถึง:::Fluency}จะ{ได้=>เห็น:::Fluency}ผล,"['วาระ', 'ของ', 'นักการเมือง', 'ส่วนใหญ่', 'เป็น', ' ', '4', ' ', 'ปี', ' ', 'แต่', 'บาง', 'นโยบาย', 'ต้อง', 'ใช้เวลา', 'จะ', 'ได้', 'เห็น', 'ประโยชน์']",19,0
198,3,เขาจะแต่งงานกับผู้หญิงคนไทย ป่านนี้ผมยังทำการบ้านไม่เสร็จ กว่าผมจะไปถึงร้าน,เขาจะแต่งงานกับผู้หญิงคนไทย ป่านนี้ผมยังทำการบ้านไม่เสร็จ กว่าผมจะไปถึงร้าน,เขาจะแต่งงานกับผู้หญิงคนไทย ป่านนี้ผมยังทำการบ้านไม่เสร็จ กว่าผมจะไปถึงร้าน,"['เขา', 'จะ', 'แต่งงาน', 'กับ', 'ผู้หญิง', 'คนไทย', ' ', 'ป่านนี้', 'ผม', 'ยัง', 'ทำการบ้าน', 'ไม่', 'เสร็จ', ' ', 'กว่า', 'ผม', 'จะ', 'ไป', 'ถึง', 'ร้าน']",20,1
173,4,ฉันขับรถได้ แต่ไม่ค่อยชอบเท่าไร,ฉันขับรถได้ แต่ไม่ค่อยชอบเท่าไร,ฉันขับรถได้ แต่ไม่ค่อยชอบเท่าไร,"['ฉัน', 'ขับรถ', 'ได้', ' ', 'แต่', 'ไม่ค่อย', 'ชอบ', 'เท่าไร']",8,1
351,8,เขาตื่นนอนใกล้จะ ๖ โมงแล้ว,เขาตื่นนอนตอนใกล้จะ ๖ โมงแล้ว,เขาตื่นนอน{=>ตอน:::Grammar}ใกล้จะ ๖ โมงแล้ว,"['เขา', 'ตื่นนอน', 'ใกล้', 'จะ', ' ', '๖', ' ', 'โมง', 'แล้ว']",9,0
19,7,ภาษาอังกฤษว่า Mosquito,ภาษาอังกฤษเรียกว่า Mosquito,ภาษาอังกฤษ{=>เรียก:::Grammar}ว่า Mosquito,"['ภาษาอังกฤษ', 'ว่า', ' ', 'Mosquito']",4,0
48,3,วันลอยกระทงตรงกับประมาณวันพระจันทร์เต็มดวงของเดือนพฤศจิกายน,วันลอยกระทงตรงกับวันพระจันทร์เต็มดวงของเดือนพฤศจิกายน,วันลอยกระทงตรงกับ{ประมาณ=>:::Fluency}วันพระจันทร์เต็มดวงของเดือนพฤศจิกายน,"['วัน', 'ลอยกระทง', 'ตรง', 'กับ', 'ประมาณ', 'วัน', 'พระจันทร์เต็มดวง', 'ของ', 'เดือน', 'พฤศจิกายน']",10,0
242,0,ผมจะอธิบายเกี่ยวกับมะม่วง,ผมจะอธิบายเกี่ยวกับมะม่วง,ผมจะอธิบายเกี่ยวกับมะม่วง,"['ผม', 'จะ', 'อธิบาย', 'เกี่ยวกับ', 'มะม่วง']",5,1
22,28,เราก็ต้องมีความเข้าใจสำหรับประเทศอื่น,เราก็ต้องมีความเข้าใจในประเทศอื่น,เราก็ต้องมีความเข้าใจ{สำหรับ=>ใน:::Grammar}ประเทศอื่น,"['เรา', 'ก็', 'ต้อง', 'มี', 'ความเข้าใจ', 'สำหรับ', 'ประเทศ', 'อื่น']",8,0
